order_id,customer_id,order_date,amount,currency,status,device,country
0,C100,2023/08/12,-264.57149620816125,usd,completed,desktop,US
1,C100,2023-10-15,220.3487909830303,USD,refunded,mobile,US
2,C100,2023/03/10,-92.07722401925228,usd,completed,mobile,UK
3,C_100,2023-04-26,-177.63107160102632,USD,refunded,desktop,usa
4,C_100,2023-09-10,161.25221415811603,usd,completed,mobile,UK
5,,01/11/2023,107.81649095195931,usd,refunded,mobile,usa
6,,2023/07/23,131.4499127117367,usd,completed,desktop,US
7,C100,09/07/2022,-154.2050959739731,USD,completed,mobile,UK
8,C100,2023-07-07,77.69370413232465,USD,refunded,desktop,usa
9,C_100,26/01/2023,226.6555183779926,USD,completed,mobile,usa
10,C_100,2023-06-26,-500.00152029832054,usd,completed,mobile,US
11,,25/01/2022,12.311437522288669,USD,Completed,mobile,UK
12,C_100,20/03/2023,262.4970485881376,USD,Completed,mobile,US
13,C_100,2022-01-22,-213.03729478793466,USD,refunded,desktop,UK
14,,2023/03/01,-174.61660480968646,usd,Completed,mobile,UK
15,C100,07/10/2022,176.36882552138812,usd,Completed,mobile,UK
16,,2022/03/28,-255.36193469537886,usd,completed,desktop,US
17,C_100,14/04/2022,-202.2096606250132,usd,completed,desktop,US
18,C100,12/08/2023,93.82411014661622,USD,refunded,desktop,UK
19,C100,10/11/2023,124.97247353740306,usd,Completed,mobile,UK
20,C_100,02/03/2022,-191.2238733518512,USD,Completed,desktop,usa
21,C_100,2023-05-03,135.48438460605826,usd,refunded,desktop,UK
22,C100,2022/01/16,-110.92619452258936,usd,Completed,mobile,US
23,C_100,05/03/2022,-60.75285146307357,usd,completed,desktop,usa
24,C100,2022/03/21,-122.74011332068504,usd,refunded,mobile,US
25,C_100,2022/02/03,-261.0382250511445,usd,Completed,mobile,UK
26,,2023/08/11,-339.28515822977795,USD,Completed,desktop,US
27,C100,21/01/2023,-23.81076427881475,usd,completed,mobile,US
28,C_100,2023-09-18,-237.68295300006628,usd,Completed,mobile,usa
29,C100,2023-07-27,-118.07210512375894,USD,Completed,mobile,UK
30,C100,2022-03-18,-96.37652133871028,usd,Completed,mobile,UK
31,,2023-01-08,-208.59591529772948,usd,completed,desktop,usa
32,C_100,2022-03-24,159.4580791051693,USD,completed,desktop,UK
33,C_100,2023-03-25,-325.72843522463796,USD,Completed,mobile,usa
34,C_100,2022/02/22,-64.07222216883135,usd,completed,mobile,usa
35,C100,2022/03/29,-453.2306780664009,usd,refunded,desktop,US
36,,29/07/2023,180.98653853772544,USD,completed,mobile,US
37,C100,2023-08-05,-183.4935986470607,USD,completed,desktop,UK
38,C100,2022-04-23,112.85614714533929,usd,completed,mobile,usa
39,,2022-06-04,267.00189509667996,usd,Completed,desktop,UK
40,,29/09/2023,-31.861502651800315,usd,Completed,desktop,UK
41,,30/09/2022,33.532220200777,usd,refunded,mobile,usa
42,C_100,19/08/2022,183.78197275199875,USD,completed,mobile,US
43,,2022-09-01,-161.38064010148935,USD,completed,mobile,usa
44,C100,12/11/2023,-349.0566571824927,usd,refunded,mobile,UK
45,,2023-08-05,322.6137798286303,usd,completed,mobile,usa
46,,2023/11/25,444.33533802855993,usd,completed,desktop,US
47,,2022/03/30,-190.9133766962741,usd,Completed,mobile,UK
48,C100,09/10/2023,-47.37546677916938,USD,refunded,mobile,UK
49,,14/01/2022,-44.036595926627164,USD,Completed,mobile,US
50,C_100,2023/07/05,-318.38557622732276,USD,Completed,mobile,UK
51,C100,03/10/2023,52.198731859333556,usd,completed,desktop,UK
52,C_100,2023/04/10,79.93216635349069,USD,refunded,desktop,US
53,C_100,28/08/2022,-140.643056658851,USD,refunded,mobile,usa
54,,10/05/2023,21.210738036726227,usd,Completed,desktop,UK
55,C_100,2022/01/25,234.13798901842847,USD,refunded,mobile,UK
56,C100,2022-05-17,-219.730790875234,usd,completed,desktop,UK
57,C100,2022/04/09,-70.50143297055389,USD,refunded,desktop,UK
58,C_100,2023/11/13,-217.40304595955294,usd,refunded,desktop,UK
59,,2022-07-19,294.1072912274353,USD,completed,desktop,US
60,C_100,2022/07/30,-23.021571613245488,usd,Completed,desktop,usa
61,C100,21/12/2022,-57.90975127654979,USD,completed,mobile,US
62,C100,2022/04/19,126.94750397257948,usd,completed,mobile,usa
63,,20/12/2022,27.738405956294997,USD,refunded,desktop,UK
64,,2023-04-27,270.782258363041,USD,refunded,desktop,usa
65,,2022-03-10,-10.07180594545211,usd,completed,desktop,usa
66,,2023-11-15,-129.5592651503631,usd,Completed,mobile,US
67,C_100,20/10/2022,17.427521826962177,usd,Completed,mobile,UK
68,C100,2023/03/02,191.9740016846586,usd,completed,mobile,UK
69,C_100,02/03/2023,-210.34897128550244,USD,completed,desktop,US
70,,2022/09/19,-65.32834017162065,usd,completed,mobile,UK
71,,2023-06-10,-168.4360282138488,usd,refunded,mobile,US
72,,22/12/2022,46.65119784263959,USD,refunded,mobile,US
73,C100,2022/12/01,-46.66899221559312,USD,refunded,desktop,US
74,C_100,2023-02-27,30.59101464938973,USD,Completed,mobile,UK
75,C100,02/04/2023,251.2441155968702,USD,Completed,desktop,usa
76,C_100,2022-07-19,57.05795855511673,USD,refunded,mobile,US
77,,06/05/2022,8.162127155144967,usd,completed,mobile,US
78,C_100,2023-11-18,-50.24533986376887,USD,completed,desktop,US
79,C100,2023/07/19,-304.37079682360053,usd,refunded,mobile,US
80,C100,2022/03/13,95.19025440640738,usd,Completed,desktop,usa
81,C100,2022/03/29,-256.22889287729384,usd,refunded,desktop,US
82,C100,22/05/2022,88.74212003792648,USD,Completed,mobile,US
83,,25/11/2023,-359.55195331250684,usd,Completed,desktop,US
84,C_100,2022-05-21,352.62831846979145,USD,refunded,desktop,UK
85,,2022-09-03,114.03676057484995,usd,completed,desktop,UK
86,C_100,2023-11-25,-32.15434140032208,usd,Completed,mobile,UK
87,,2022-10-23,-0.26305729208694667,USD,completed,desktop,UK
88,,2022-12-27,-1.339703960477993,usd,completed,mobile,usa
89,C100,31/01/2023,-8.352445798426581,USD,completed,mobile,usa
90,C_100,2022/07/15,163.01852410279048,usd,refunded,mobile,usa
91,C100,2023-09-16,271.05655177725356,USD,refunded,desktop,usa
92,C_100,2023-01-06,-172.24440585727706,USD,Completed,mobile,UK
93,C_100,22/11/2022,17.764468727194213,USD,completed,mobile,UK
94,,11/02/2023,-298.96683281059603,usd,Completed,mobile,US
95,,02/06/2022,132.15752985457695,USD,Completed,desktop,UK
96,C100,22/10/2023,108.53553080285288,usd,refunded,mobile,UK
97,C100,2022/12/09,-101.0179310745989,usd,refunded,mobile,US
98,,08/04/2023,-123.90539076789968,usd,refunded,desktop,usa
99,,2023-05-18,73.80535112881861,usd,refunded,desktop,usa
100,,2022-10-20,124.60181706432492,usd,completed,mobile,usa
101,C_100,16/07/2023,-367.1117560662912,USD,refunded,mobile,usa
102,,2022-08-07,36.38167580766857,usd,completed,mobile,US
103,C100,2022/02/15,22.039291553458327,USD,refunded,mobile,US
104,C_100,2022-06-22,73.83824773823214,USD,completed,mobile,UK
105,C_100,21/09/2023,-316.20724837988655,USD,Completed,desktop,usa
106,,2023-07-11,62.94214750727214,USD,Completed,desktop,US
107,,2022/12/11,-180.30193977570062,USD,completed,desktop,US
108,C_100,2023/01/05,-24.588481622761936,usd,completed,mobile,usa
109,C100,23/05/2022,-106.76077620770496,usd,Completed,desktop,usa
110,C_100,2023-07-12,-212.6189867144579,USD,refunded,mobile,usa
111,C_100,2022-07-10,317.1158952242499,usd,Completed,mobile,UK
112,C_100,2022/12/09,62.70527977078323,USD,Completed,mobile,UK
113,,05/03/2022,-127.82038808951488,usd,completed,desktop,UK
114,C_100,2022-01-24,-140.0265632299593,usd,completed,mobile,usa
115,C100,2023-06-24,-73.1164986124142,USD,Completed,mobile,US
116,C_100,2022-10-18,-134.41193075908024,USD,completed,desktop,UK
