session_id,customer_id,event,timestamp
0,C100,click,2022-03-07 03:54:35
1,C100,purchase,2023-05-10 03:14:39
2,C100,view,2023-10-17 18:03:47
3,C100,purchase,2022-11-01 21:54:19
4,C100,click,2022-11-17 08:15:17
5,,click,2022-10-01 03:59:00
6,C100,view,2023-11-25 08:25:51
7,,click,2022-03-06 05:10:33
8,C100,view,2022-08-02 18:01:47
9,C100,purchase,2022-07-06 20:03:13
10,C100,purchase,2023-10-08 19:55:04
11,,view,2023-03-04 23:24:13
12,,view,2022-08-22 16:20:10
13,C100,view,2022-01-24 05:17:44
14,C100,view,2022-11-10 20:21:12
15,C100,view,2022-05-21 21:48:59
16,C100,click,2023-11-30 03:46:01
17,C100,view,2022-02-21 08:07:11
18,C100,purchase,2022-08-28 07:34:19
19,C100,purchase,2022-03-13 17:25:59
20,,purchase,2023-11-05 01:05:08
21,,view,2023-09-21 10:39:49
22,C100,click,2023-02-27 21:02:16
23,C100,purchase,2023-09-20 10:27:47
24,,click,2023-06-10 00:26:39
25,C100,click,2023-07-25 06:34:58
26,C100,view,2023-05-26 00:59:54
27,C100,click,2022-07-06 20:03:13
28,C100,purchase,2022-06-04 02:28:08
29,,view,2023-08-01 15:55:04
30,,view,2022-01-15 21:09:54
31,,purchase,2023-11-28 21:53:22
32,,view,2023-11-18 21:01:45
33,,view,2023-10-21 00:51:43
34,C100,purchase,2023-09-01 03:37:31
35,C100,purchase,2022-10-12 18:13:48
36,C100,view,2023-07-11 12:48:12
37,C100,click,2022-04-13 09:21:28
38,,purchase,2022-04-10 13:24:04
39,C100,purchase,2022-04-02 16:47:13
40,,purchase,2022-12-04 15:31:10
41,,purchase,2023-03-28 15:42:05
42,,click,2022-02-07 15:32:54
43,C100,view,2023-07-18 03:45:55
44,,purchase,2022-11-01 02:32:36
45,C100,click,2023-11-25 23:08:03
46,C100,purchase,2023-03-08 08:00:03
47,,click,2023-08-06 14:45:41
48,,click,2023-02-13 09:50:33
49,,purchase,2023-06-30 07:40:17
50,,purchase,2023-08-20 18:57:56
51,C100,view,2022-05-01 02:00:46
52,C100,view,2023-10-22 05:07:12
53,,click,2022-01-23 04:58:51
54,,purchase,2022-03-01 19:34:57
55,,purchase,2023-01-06 11:26:05
56,C100,purchase,2023-03-06 10:33:33
57,C100,view,2022-09-23 15:42:45
58,C100,click,2023-06-29 16:06:17
59,C100,purchase,2023-02-03 16:45:21
60,,purchase,2022-07-29 16:47:03
61,C100,purchase,2023-09-25 22:32:48
62,,view,2022-08-08 17:16:43
63,C100,click,2023-01-19 05:24:33
64,C100,view,2022-10-01 22:35:39
65,C100,click,2023-08-28 21:28:48
66,,purchase,2022-06-17 13:05:22
67,,view,2023-08-06 04:36:20
68,,purchase,2023-11-21 08:16:17
69,,click,2023-04-19 15:19:07
70,C100,click,2022-06-20 02:26:25
71,,click,2023-08-13 10:05:40
72,C100,view,2022-05-15 08:29:59
73,C100,purchase,2023-02-09 08:17:17
74,,click,2023-10-13 00:13:30
75,C100,view,2022-07-13 18:33:40
76,,view,2023-01-20 08:06:29
77,,click,2022-12-27 18:10:59
78,,view,2023-09-20 07:41:45
79,,view,2022-10-06 20:09:53
80,C100,purchase,2023-10-18 08:53:30
81,,view,2023-09-03 09:06:25
82,,click,2022-05-12 20:19:29
83,,click,2023-04-17 23:13:33
84,,purchase,2023-01-09 20:14:18
85,,click,2023-01-07 21:40:47
86,,click,2022-01-21 02:44:50
87,C100,view,2023-01-02 01:50:36
88,,purchase,2022-03-05 03:09:22
89,,purchase,2022-01-01 06:19:39
90,,purchase,2023-05-28 21:21:24
91,,view,2022-01-20 11:38:55
92,,click,2022-03-06 20:40:59
93,,view,2023-11-15 01:38:16
94,,view,2022-09-26 09:24:00
95,,click,2022-05-23 09:08:49
96,,view,2023-01-07 06:34:50
97,C100,view,2023-06-13 19:32:14
98,,click,2022-06-25 06:06:03
99,C100,click,2023-03-22 07:32:06
100,C100,purchase,2023-07-11 15:17:02
101,,click,2023-08-19 08:25:07
102,C100,purchase,2022-03-07 03:54:35
103,,purchase,2023-10-17 08:33:55
