,customer_id,signup_date,age,gender,order_date,amount,status,device,country,event,currency
0,C4160,2023-10-17,30.0,0.0,2024-01-28,99.9754876628189,completed,mobile,US,click,USD
1,C4160,2023-10-17,30.0,0.0,2024-12-26,-264.57149620816125,refunded,desktop,US,click,USD
2,C2075,2022-01-22,28.0,0.0,2022-10-20,220.3487909830303,completed,mobile,US,purchase,USD
3,C285,2023-02-21,28.0,1.0,2023-06-08,-92.07722401925228,refunded,mobile,UK,view,USD
4,C4934,2022-05-13,30.0,0.0,2022-07-24,-177.63107160102632,refunded,desktop,US,purchase,USD
5,C4927,2022-02-18,25.0,0.0,2024-01-20,-487.6383392444967,refunded,desktop,US,click,USD
6,C4927,2022-02-18,25.0,0.0,2022-03-11,-487.6383392444967,refunded,desktop,US,purchase,USD
7,C4927,2022-02-18,25.0,0.0,2023-10-26,161.25221415811603,completed,mobile,UK,click,USD
8,C4927,2022-02-18,25.0,0.0,2022-06-20,161.25221415811603,completed,mobile,UK,purchase,USD
9,C1188,2022-03-06,28.0,1.0,2023-06-16,34.760135649255005,completed,desktop,US,click,USD
10,C1188,2022-03-06,28.0,1.0,2022-10-07,34.760135649255005,completed,desktop,US,purchase,USD
11,C1188,2022-03-06,28.0,1.0,2023-01-31,34.760135649255005,completed,desktop,US,view,USD
12,C1188,2022-03-06,28.0,1.0,2023-06-08,107.81649095195932,completed,mobile,US,click,USD
13,C1188,2022-03-06,28.0,1.0,2022-06-02,107.81649095195932,completed,mobile,US,purchase,USD
14,C1188,2022-03-06,28.0,1.0,2023-03-14,107.81649095195932,completed,mobile,US,view,USD
15,C1188,2022-03-06,28.0,1.0,2022-06-14,1.8968845046338785,completed,mobile,UK,click,USD
16,C1188,2022-03-06,28.0,1.0,2023-12-30,1.8968845046338785,completed,mobile,UK,purchase,USD
17,C1188,2022-03-06,28.0,1.0,2022-07-15,1.8968845046338785,completed,mobile,UK,view,USD
18,C1188,2022-03-06,28.0,1.0,2023-12-28,-34.160684002554774,refunded,mobile,US,click,USD
19,C1188,2022-03-06,28.0,1.0,2023-01-09,-34.160684002554774,refunded,mobile,US,purchase,USD
20,C1188,2022-03-06,28.0,1.0,2023-02-13,-34.160684002554774,refunded,mobile,US,view,USD
21,C3970,2022-04-14,30.0,0.0,2023-08-19,-0.9486470579192762,refunded,desktop,US,purchase,USD
22,C3970,2022-04-14,30.0,0.0,2023-06-02,-0.9486470579192762,refunded,desktop,US,view,USD
23,C3970,2022-04-14,30.0,0.0,2023-05-05,201.0090080720804,completed,desktop,US,purchase,USD
24,C3970,2022-04-14,30.0,0.0,2022-10-23,201.0090080720804,completed,desktop,US,view,USD
25,C3970,2022-04-14,30.0,0.0,2023-01-16,-154.2691268526476,refunded,desktop,US,purchase,USD
26,C3970,2022-04-14,30.0,0.0,2022-09-22,-154.2691268526476,refunded,desktop,US,view,USD
27,C3970,2022-04-14,30.0,0.0,2023-07-18,56.82962568323941,completed,mobile,US,purchase,USD
28,C3970,2022-04-14,30.0,0.0,2023-02-22,56.82962568323941,completed,mobile,US,view,USD
29,C3970,2022-04-14,30.0,0.0,2022-05-06,131.4499127117367,completed,desktop,US,purchase,USD
30,C3970,2022-04-14,30.0,0.0,2022-12-23,131.4499127117367,completed,desktop,US,view,USD
31,C2966,2022-11-04,30.0,1.0,2024-05-18,-154.2050959739731,refunded,mobile,UK,click,USD
32,C2966,2022-11-04,30.0,1.0,2024-02-22,-154.2050959739731,refunded,mobile,UK,purchase,USD
33,C2966,2022-11-04,30.0,1.0,2023-01-02,-139.43265905478714,refunded,mobile,US,click,USD
34,C2966,2022-11-04,30.0,1.0,2024-03-29,-139.43265905478714,refunded,mobile,US,purchase,USD
35,C4320,2023-05-11,30.0,0.0,2025-03-23,-51.62174646674165,refunded,mobile,UK,click,USD
36,C4320,2023-05-11,30.0,0.0,2024-08-29,-51.62174646674165,refunded,mobile,UK,view,USD
37,C4320,2023-05-11,30.0,0.0,2025-04-10,77.69370413232465,completed,desktop,US,click,USD
38,C4320,2023-05-11,30.0,0.0,2023-11-17,77.69370413232465,completed,desktop,US,view,USD
39,C784,2023-11-15,28.0,0.0,2025-10-02,226.6555183779926,completed,mobile,US,purchase,USD
40,C784,2023-11-15,28.0,0.0,2025-05-31,226.6555183779926,completed,mobile,US,view,USD
41,C784,2023-11-15,28.0,0.0,2025-06-04,262.75002452561574,completed,desktop,UK,purchase,USD
42,C784,2023-11-15,28.0,0.0,2024-07-16,262.75002452561574,completed,desktop,UK,view,USD
43,C950,2023-02-15,30.0,1.0,2024-07-04,-301.5847601858336,refunded,mobile,US,click,USD
44,C950,2023-02-15,30.0,1.0,2023-06-26,-301.5847601858336,refunded,mobile,US,purchase,USD
45,C950,2023-02-15,30.0,1.0,2024-06-14,-259.2067637068028,refunded,mobile,US,click,USD
46,C950,2023-02-15,30.0,1.0,2024-11-23,-259.2067637068028,refunded,mobile,US,purchase,USD
47,C950,2023-02-15,30.0,1.0,2023-03-08,-250.8353139105892,refunded,mobile,US,click,USD
48,C950,2023-02-15,30.0,1.0,2023-08-01,-250.8353139105892,refunded,mobile,US,purchase,USD
49,C950,2023-02-15,30.0,1.0,2023-11-16,-500.0015202983205,refunded,mobile,US,click,USD
50,C950,2023-02-15,30.0,1.0,2024-03-09,-500.0015202983205,refunded,mobile,US,purchase,USD
51,C3940,2022-07-31,25.0,0.0,2024-03-23,12.311437522288667,completed,mobile,UK,click,USD
52,C3940,2022-07-31,25.0,0.0,2023-06-12,12.311437522288667,completed,mobile,UK,view,USD
53,C3940,2022-07-31,25.0,0.0,2022-08-14,-59.10860091000565,refunded,mobile,US,click,USD
54,C3940,2022-07-31,25.0,0.0,2023-03-30,-59.10860091000565,refunded,mobile,US,view,USD
55,C45,2022-02-04,30.0,1.0,2023-01-16,31.697751980919502,completed,mobile,US,purchase,USD
56,C45,2022-02-04,30.0,1.0,2023-08-23,31.697751980919502,completed,mobile,US,view,USD
57,C45,2022-02-04,30.0,1.0,2023-01-10,262.4970485881376,completed,mobile,US,purchase,USD
58,C45,2022-02-04,30.0,1.0,2022-05-07,262.4970485881376,completed,mobile,US,view,USD
59,C45,2022-02-04,30.0,1.0,2023-02-06,-227.1522778883713,refunded,desktop,US,purchase,USD
60,C45,2022-02-04,30.0,1.0,2023-05-05,-227.1522778883713,refunded,desktop,US,view,USD
61,C1811,2023-07-24,30.0,0.0,2024-09-24,-213.03729478793463,refunded,desktop,UK,purchase,USD
62,C1811,2023-07-24,30.0,0.0,2024-12-14,-213.03729478793463,refunded,desktop,UK,view,USD
63,C1811,2023-07-24,30.0,0.0,2023-08-28,-325.5614931831728,refunded,mobile,UK,purchase,USD
64,C1811,2023-07-24,30.0,0.0,2024-02-15,-325.5614931831728,refunded,mobile,UK,view,USD
65,C1811,2023-07-24,30.0,0.0,2023-10-13,195.742430798518,completed,mobile,US,purchase,USD
66,C1811,2023-07-24,30.0,0.0,2025-02-05,195.742430798518,completed,mobile,US,view,USD
67,C4567,2023-08-22,25.0,0.0,2024-09-13,4.3776135816609445,completed,desktop,UK,click,USD
68,C4567,2023-08-22,25.0,0.0,2023-08-24,4.3776135816609445,completed,desktop,UK,view,USD
69,C4567,2023-08-22,25.0,0.0,2024-09-15,-174.61660480968646,refunded,mobile,UK,click,USD
70,C4567,2023-08-22,25.0,0.0,2025-03-10,-174.61660480968646,refunded,mobile,UK,view,USD
71,C4567,2023-08-22,25.0,0.0,2023-12-06,-58.41862645473064,refunded,desktop,US,click,USD
72,C4567,2023-08-22,25.0,0.0,2024-12-11,-58.41862645473064,refunded,desktop,US,view,USD
73,C2082,2023-05-13,30.0,0.0,2025-04-15,176.36882552138812,completed,mobile,UK,view,USD
